,video_id,video_title,channel_name
246,c-4flnuxNV4,Why we make bad decisions | Dan Gilbert,TED
247,QgKCrGvShZs,Wii remote hacks | Johnny Lee,TED
248,9uOMectkCCs,The first secret of great design | Tony Fadell,TED
249,Zx8uYIfUvh4,"Never, ever give up | Diana Nyad",TED
250,szt7f5NmE9E,Nationalism vs. globalism: the new political divide | Yuval Noah Harari,TED
251,1U2qMRGihGg,The brain benefits of deep sleep -- and how to get more of it |  Dan Gartenberg,TED
252,VM6HZqQKhok,My descent into America’s neo-Nazi movement -- and how I got out | Christian Picciolini,TED
253,M4vqr3_ROIk,"Lightning calculation and other ""mathemagic"" | Arthur Benjamin",TED
254,VQRjouwKDlU,4 reasons to learn a new language | John McWhorter,TED
255,t7Xr3AsBEK4,"Connected, but alone? | Sherry Turkle",TED
256,fjbWr3ODbAo,The illusion of consciousness | Dan Dennett,TED
257,NHopJHSlVo4,Keep your goals to yourself | Derek Sivers,TED
258,k0Fx6igxRv8,War in Ukraine -- and What It Means for the World Order | Ian Bremmer | TED,TED
259,Dar8P3r7GYA,SpaceX's plan to fly you across the globe in 30 minutes | Gwynne Shotwell,TED
260,x-ewvCNguug,"Why we love, why we cheat | Helen Fisher",TED
261,HpiZTvlWx2g,Malcolm Gladwell: The strange tale of the Norden bombsight,TED
262,OYfoGTIG7pY,The brain in love | Helen Fisher,TED
263,nLeeTVmVrtA,The family I lost in North Korea. And the family I gained | Joseph Kim,TED
264,kQa11RMCeSI,Jack Horner: Shape-shifting dinosaurs,TED
265,3z1cCT2NP4k,New York -- before the City | Eric Sanderson,TED
266,8UPHFjHvGvY,An electrifying acoustic guitar performance | Rodrigo y Gabriela,TED
267,c2tOp7OxyQ8,Bryan Stevenson: We need to talk about an injustice | TED,TED
268,V74AxCqOTvg,How to start a movement | Derek Sivers,TED
269,TdBAHexVYzc,How CRISPR lets us edit our DNA | Jennifer Doudna,TED
270,ydKcaIE6O1k,Poverty isn't a lack of character; it's a lack of cash | Rutger Bregman,TED
271,U6PoUg7jXsA,Feats of memory anyone can do | Joshua Foer,TED
272,0R9zjn9BBvA,You are fluent in this language (and don't even know it) | Christoph Niemann,TED
273,MJK-dMlATmM,One more reason to get a good night’s sleep | Jeff Iliff,TED
274,ZQElzjCsl9o,Math is the hidden secret to understanding the world | Roger Antonsen,TED
275,dIh8KBOOkYU,The polyphonic me | Beardyman,TED
276,ezVk1ahRF78,Religions and babies | Hans Rosling,TED
277,8GQZuzIdeQQ,How to make hard choices | Ruth Chang,TED
278,gmj-azFbpkA,My year of saying yes to everything | Shonda Rhimes,TED
279,0af00UcTO-c,Where good ideas come from | Steven Johnson,TED
280,t0kACis_dJE,"6 tips for better sleep | Sleeping with Science, a TED series",TED
281,swB7Ivct8d8,How we'll earn money in a future without jobs | Martin Ford,TED
282,ccIt-qRQBoI,Ze Frank: Are you human?,TED
283,btQHSDrLlok,Why you shouldn't worry about pooping once a day | Body Stuff with Dr. Jen Gunter,TED
284,4c1lqFXHvqI,Can we create new senses for humans? | David Eagleman,TED
285,4sZdcB6bjI8,Why some of us don't have one true calling | Emilie Wapnick,TED
286,utV1sdjr4PY,"Robots with ""soul"" | Guy Hoffman",TED
287,r9LelXa3U_I,Bring on the learning revolution! | Sir Ken Robinson,TED
288,L4N1q4RNi9I,Why the secret to success is setting the right goals | John Doerr | TED,TED
289,fTznEIZRkLg,"Hans Rosling: Global population growth, box by box",TED
290,mWA2uL8zXPI,What young women believe about their own sexual pleasure | Peggy Orenstein,TED
291,LeBKBFAPwNc,Why I love a country that once betrayed me | George Takei,TED
292,tSciinXdGhI,"Why 1.5 billion people eat with chopsticks | Small Thing Big Idea, a TED series",TED
293,amSqQ5XNaGE,Incredible high school musicians from Venezuela! | Gustavo Dudamel,TED
294,2IFa0tqHrwE,"Mentalism, mind reading and the art of getting inside your head | Derren Brown",TED
295,B8ofWFx525s,"Beware online ""filter bubbles"" | Eli Pariser",TED
296,g3vSYbT1Aco,Why you don’t like the sound of your own voice | Rébecca Kleinberger,TED
297,3zJHwOwirjA,3 questions to ask yourself about everything you do | Stacey Abrams,TED
298,PbgB2TaYhio,This deep-sea mystery is changing our understanding of life | Karen Lloyd,TED
299,vMKNUylmanQ,Jeff Bezos: The electricity metaphor,TED
300,8_zk2DpgLCs,3 things I learned while my plane crashed | Ric Elias,TED
301,IESYMFtLIis,Why societies collapse | Jared Diamond,TED
302,b694exl_oZo,"My creations, a new form of life | Theo Jansen",TED
303,EzZzZ_qpZ4w,A guerilla gardener in South Central LA | Ron Finley,TED
304,yCm9Ng0bbEQ,Is the world getting better or worse? A look at the numbers | Steven Pinker,TED
305,CL-SiaFuLo4,"On tennis, love and motherhood | Serena Williams and Gayle King",TED
306,sucza6EOIf0,"One woman, eight hilarious characters | Sarah Jones",TED
307,akOe5-UsQ2o,The urgency of intersectionality | Kimberlé Crenshaw,TED
308,BNHGY0PB1UU,Teenaged boy wonders play bluegrass | The Sleepy Man Banjo Boys,TED
309,RZgkjEdMbSw,"How to deconstruct racism, one headline at a time | Baratunde Thurston",TED
310,U9cGdRNMdQQ,The hidden power of smiling | Ron Gutman,TED
311,J5jwEyDaR-0,The best kindergarten you’ve ever seen | Takaharu Tezuka,TED
312,o08ykAqLOxk,How We Can Make the World a Better Place by 2030 | Michael Green | TED Talks,TED
313,dE1DuBesGYM,Gaming can make a better world | Jane McGonigal,TED
314,JJZ8z_nTCZQ,How menopause affects the brain | Lisa Mosconi,TED
315,iHWIZsIBj3Q,Forget Wi-Fi. Meet the new Li-Fi Internet | Harald Haas,TED
316,8K9Gg164Bsw,"I'm not your inspiration, thank you very much | Stella Young",TED
317,nq0_zGzSc8g,Stuart Firestein: The pursuit of ignorance,TED
318,LIckScLypGA,"In the Internet age, dance evolves ... | The LXD",TED
319,_waBFUg_oT8,"Success, failure and the drive to keep creating | Elizabeth Gilbert",TED
320,b5ZESpOAolU,How to build your confidence -- and spark it in others | Brittany Packnett Cunningham,TED
321,k9fmJ5xQ_mc,Jamila Lyiscott: 3 ways to speak English | TED,TED
322,87qLWFZManA,Three ideas. Three contradictions. Or not. | Hannah Gadsby,TED
323,nTFEUsudhfs,Let's use video to reinvent education | Salman Khan,TED
324,2Oe6HUgrRlQ,Atheism 2.0 | Alain de Botton,TED
325,9FBxfd7DL3E,The new era of positive psychology | Martin Seligman,TED
326,HXbsVbFAczg,How to build a company where the best ideas win | Ray Dalio,TED
327,aUYSDEYdmzw,What it takes to be a great leader | Roselinde Torres | TED,TED
328,Gj8IA6xOpSk,The call to learn | Clifford Stoll,TED
329,uhRhtFFhNzQ,How do you explain consciousness? | David Chalmers,TED
330,mAp6X0zZfx0,Talking and squawking | Einstein the parrot and Stephanie White,TED
331,Kxg0_EpOcWs,"The Chinese zodiac, explained | ShaoLan",TED
332,B9bDZ5-zPtY,Can we eat to starve cancer? | William Li,TED
333,5HL1BEC024g,Taylor Wilson: My radical plan for small nuclear fission reactors,TED
334,o2DDU4g0PRo,Fake videos of real people -- and how to spot them | Supasorn Suwajanakorn,TED
335,cXQrbxD9_Ng,What will future jobs look like? | Andrew McAfee,TED
336,WhpAYw9kCt8,The agony of opioid withdrawal — and what doctors should tell patients about it | Travis Rieder,TED
337,u7SWcQaoaRQ,What we didn't know about male anatomy | Diane Kelly,TED
338,sAQfzHBpRsc,Mark Bezos: A life lesson from a volunteer firefighter,TED
339,_6uKZWnJLCM,CERN's supercollider | Brian Cox,TED
340,0QVXdEOiCw8,Building a dinosaur from a chicken | Jack Horner,TED
341,XgRlrBl-7Yg,The riddle of experience vs. memory | Daniel Kahneman,TED
342,JnfBXjWm7hc,Try something new for 30 days | Matt Cutts,TED
343,fC9da6eqaqg,"Teach girls bravery, not perfection | Reshma Saujani",TED
344,GB4s5b9NL3I,Capitalism will eat democracy -- unless we speak up | Yanis Varoufakis,TED
345,q2gO4DKVpa8,"Beware, fellow plutocrats, the pitchforks are coming | Nick Hanauer",TED
346,khkJkR-ipfw,"We don't ""move on"" from grief. We move forward with it | Nora McInerny",TED
347,C2p42GASnUo,"Jorge Drexler: Poetry, music and identity (with English subtitles) | TED",TED
348,w8lH8tNlAXc,What will humans look like in 100 years? | Juan Enriquez,TED
349,RzP_kIXsuvA,Playing the Cape Breton fiddle | Natalie MacMaster,TED
350,NDQ1Mi5I4rg,The gift and power of emotional courage | Susan David,TED
351,yFVXsjVdvmY,The mathematics of love | Hannah Fry,TED
